topic,Claude_Code,Copilot,Cursor,Devin,Human,OpenAI_Codex
0,5,42,5,20,0,13
1,0,13,0,28,0,1
2,0,23,0,16,0,2
3,2,31,0,5,0,1
4,5,16,1,9,0,7
5,0,22,1,9,0,2
6,0,21,0,7,0,3
7,2,21,1,6,0,1
8,0,20,0,7,0,1
9,0,11,5,10,0,2
10,0,19,1,5,0,2
11,0,11,0,15,0,1
12,0,26,0,0,0,0
13,0,12,3,10,0,1
14,0,15,0,9,0,1
15,0,14,4,2,0,4
16,0,24,0,0,0,0
17,1,22,0,0,0,1
18,1,18,0,3,0,1
19,0,12,0,11,0,0
20,0,10,1,11,0,1
21,2,12,0,2,0,6
22,0,20,0,0,0,1
23,0,17,0,4,0,0
24,0,15,1,5,0,0
25,3,11,2,3,0,2
26,1,12,1,5,0,1
27,0,14,1,3,0,2
28,0,17,0,2,0,1
29,0,16,0,4,0,0
30,0,12,0,7,0,0
31,0,14,1,3,0,1
32,0,19,0,0,0,0
33,0,18,0,0,0,0
34,0,17,0,1,0,0
35,1,15,1,1,0,0
36,1,14,0,3,0,0
37,0,12,0,3,0,3
38,0,16,1,1,0,0
39,0,11,0,7,0,0
40,0,8,0,8,0,2
41,0,17,0,0,0,0
42,1,8,2,4,0,2
43,2,9,0,6,0,0
44,1,1,1,3,0,11
45,3,9,0,3,1,0
46,0,9,0,4,0,3
47,0,10,0,5,0,1
48,1,9,2,2,0,2
49,0,10,0,4,0,2
50,0,14,0,1,0,0
51,0,6,0,6,0,3
52,0,12,0,3,0,0
53,0,12,0,3,0,0
54,0,12,2,1,0,0
55,0,14,0,1,0,0
56,0,0,8,3,0,4
57,1,14,0,0,0,0
58,1,6,1,4,0,3
59,1,8,0,6,0,0
60,0,9,3,3,0,0
61,0,8,4,0,0,2
62,0,11,0,1,0,2
63,0,11,0,2,0,1
64,2,1,3,5,0,3
65,0,8,0,5,1,0
66,0,10,1,2,0,0
67,1,2,0,10,0,0
68,2,5,0,5,0,1
69,0,8,1,3,0,1
70,0,11,2,0,0,0
71,0,7,0,3,0,3
72,1,11,0,0,0,1
73,0,7,0,4,0,2
74,0,2,0,9,0,2
75,0,4,0,8,0,0
76,0,11,0,1,0,0
77,0,10,0,2,0,0
78,0,5,0,4,0,3
79,0,9,0,2,0,1
80,0,12,0,0,0,0
81,0,11,0,0,0,1
82,1,6,0,5,0,0
83,1,6,0,4,0,1
84,1,4,0,4,0,3
85,0,6,1,4,0,0
86,0,6,0,5,0,0
87,1,8,1,1,0,0
88,0,7,1,2,0,1
89,0,6,1,4,0,0
90,0,10,1,0,0,0
91,0,8,0,2,0,1
92,0,7,0,4,0,0
93,0,10,0,0,0,0
94,0,10,0,0,0,0
95,0,6,0,2,0,2
96,0,6,1,2,0,1
97,1,7,0,2,0,0
98,0,9,0,0,0,1
99,0,6,2,0,0,2
100,0,5,1,4,0,0
101,0,10,0,0,0,0
102,0,4,0,5,0,1
103,0,5,0,5,0,0
104,0,9,0,1,0,0
105,0,1,0,9,0,0
106,0,7,0,3,0,0
107,0,6,0,3,0,1
108,0,7,1,2,0,0
109,0,8,0,1,0,1
110,0,7,0,2,0,0
111,0,2,0,6,0,1
112,1,0,0,7,0,1
113,0,8,0,0,0,1
114,0,3,2,4,0,0
115,0,4,0,4,0,1
116,0,3,1,5,0,0
117,0,9,0,0,0,0
118,0,6,0,3,0,0
119,0,6,1,0,0,2
120,0,6,0,2,0,1
121,0,8,0,1,0,0
122,0,3,1,5,0,0
123,0,8,0,1,0,0
124,0,8,0,0,0,0
125,0,5,1,0,0,2
126,0,6,0,2,0,0
127,1,4,0,3,0,0
128,0,3,1,4,0,0
129,0,4,0,2,0,2
130,0,5,0,1,0,2
131,0,3,0,4,0,1
132,0,5,0,1,0,2
133,1,3,0,3,0,0
134,0,7,0,0,0,0
135,0,4,1,2,0,0
136,0,7,0,0,0,0
137,0,5,0,2,0,0
138,0,7,0,0,0,0
139,0,7,0,0,0,0
140,0,2,0,5,0,0
141,0,4,0,3,0,0
142,0,7,0,0,0,0
143,0,4,1,2,0,0
144,0,4,0,2,0,1
145,0,7,0,0,0,0
146,0,3,0,3,0,0
147,1,2,0,3,0,0
148,0,3,1,2,0,0
149,0,2,0,4,0,0
150,0,5,0,0,0,1
151,0,6,0,0,0,0
152,0,5,0,0,0,1
153,0,0,3,0,0,3
154,0,3,0,3,0,0
155,0,3,0,1,0,2
156,0,6,0,0,0,0
157,0,3,0,3,0,0
158,0,4,0,1,0,1
159,0,3,0,2,0,1
160,0,6,0,0,0,0
161,1,1,0,0,0,3
162,1,1,0,2,0,1
163,0,5,0,0,0,0
164,0,5,0,0,0,0
165,0,4,0,0,0,1
166,0,1,0,2,0,2
167,0,2,0,2,0,1
168,0,1,0,1,0,3
