topic,Claude_Code,Copilot,Cursor,Devin,OpenAI_Codex
0,16,169,22,62,36
1,2,126,0,6,1
2,5,86,2,35,5
3,1,66,3,27,4
4,1,48,1,24,8
5,0,45,0,25,1
6,0,44,0,8,3
7,1,40,2,4,1
8,0,22,1,21,3
9,0,22,0,18,2
10,0,13,0,28,1
11,1,12,3,9,15
12,0,14,4,6,7
13,4,13,1,6,7
14,1,17,0,10,1
15,0,26,0,0,0
16,0,11,0,13,0
17,1,22,0,0,1
18,0,9,1,12,1
19,0,11,4,3,5
20,1,15,0,5,1
21,0,5,1,14,1
22,0,18,0,3,0
23,1,10,2,6,2
24,1,8,1,6,4
25,0,10,1,6,2
26,0,17,0,1,0
27,0,11,0,6,1
28,0,13,1,3,1
29,0,17,0,1,0
30,0,8,0,7,2
31,1,15,0,0,1
32,1,13,1,1,0
33,1,15,0,0,0
34,0,9,0,3,4
35,0,14,0,1,0
36,0,11,0,2,2
37,0,0,8,3,4
38,0,7,1,6,0
39,0,8,1,5,0
40,0,10,0,4,0
41,0,8,1,4,1
42,0,8,0,6,0
43,0,12,1,1,0
44,0,10,0,3,0
45,0,12,0,1,0
46,0,12,0,1,0
47,0,10,1,0,2
48,2,1,3,5,2
49,1,8,0,3,0
50,0,4,0,8,0
51,1,4,0,4,3
52,1,6,1,4,0
53,0,9,0,2,1
54,0,11,0,1,0
55,0,6,2,1,2
56,1,1,0,8,1
57,0,6,1,3,1
58,0,6,0,5,0
59,0,11,0,0,0
60,0,3,2,5,1
61,0,7,0,4,0
62,0,9,0,0,1
63,0,8,0,1,1
64,0,10,0,0,0
65,0,6,1,0,3
66,0,6,1,2,1
67,0,7,1,2,0
68,0,3,1,5,1
69,0,7,3,0,0
70,1,7,1,1,0
71,0,8,1,1,0
72,1,6,0,3,0
73,0,6,0,2,1
74,0,3,1,5,0
75,0,3,1,4,1
76,0,5,0,1,3
77,0,5,0,1,3
78,0,7,0,2,0
79,0,8,0,1,0
80,0,7,0,2,0
81,0,2,0,7,0
82,0,8,0,1,0
83,0,9,0,0,0
84,0,9,0,0,0
85,0,7,0,2,0
86,1,4,0,3,0
87,0,3,2,3,0
88,2,4,0,2,0
89,0,8,0,0,0
90,0,5,0,1,2
91,0,8,0,0,0
92,0,6,0,2,0
93,0,4,1,2,0
94,0,7,0,0,0
95,1,2,0,4,0
96,0,7,0,0,0
97,0,7,0,0,0
98,0,6,0,0,1
99,0,4,0,1,2
100,0,4,1,2,0
101,0,5,0,1,1
102,0,2,1,1,3
103,0,2,0,4,1
104,0,4,1,0,2
105,0,5,0,2,0
106,0,3,0,3,0
107,0,4,0,2,0
108,0,4,0,1,1
109,0,4,0,2,0
110,0,6,0,0,0
111,0,3,0,3,0
112,0,3,0,3,0
113,0,3,0,3,0
114,0,6,0,0,0
115,0,4,0,1,1
116,0,3,0,2,1
117,0,5,0,0,0
118,0,5,0,0,0
119,0,2,0,3,0
120,0,1,0,3,1
