Topic,Count,Name,Representation,Representative_Docs
-1,1281,-1_tests_think_like_code code,"['tests', 'think', 'like', 'code code', 'removed', 'use', 'case', 'does', 'commit', 'type']","[""> Pretty bummed to see a copy of this code to begin with. System.Reflection.MetadataLoadContext is a hard fork of the native AOT reflection stack. IIRC the original authors of MetadataLoadContext were planning for sharing but that never materialized so we have two copies. > Seems to me like we can add a regression-type test to either of these spots to get aot coverage, but I'm not seeing a great place where we have a shared codebase for all reflection tests. @MichalStrehovsky do you have a suggestion? System.Reflection.Tests you mentioned above would work, we do run those on native AOT. We don't currently run any of the MetadataLoadContext tests due to the way they are written (#72908 - they will not work on any single file form factor, native AOT included; these tests are also problematic on mobile form factors for the same reason)."", ""The [CODE] method was completely removed in Android Billing Client v8.0.0. After analyzing the generated API, only [CODE] and [CODE] methods remain. I've updated the method to return a proper error response with [CODE] and marked it as obsolete with migration guidance to use [CODE] instead. Fixed in commit 1e67483."", 'I ran [CODE] at the package root, but encountered issues with the dependencies required to run the full [CODE] command. The process requires building multiple TypeSpec packages including the compiler, which is failing due to missing dependencies. Since the documentation structure with the customization guide in [CODE] and the link to it in both the readme.md and usage.md files looks correct, the PR should fulfill the requirements. The issue with running regen-docs appears to be related to the environment setup rather than our documentation changes.']"
0,2096,0_remove_delete_copilot remove_copilot,"['remove', 'delete', 'copilot remove', 'copilot', 'file', 'comment', 'line', 'pr', 'remove file', 'changes']","[""It appears that ghalint's ability to ignore lint is incomplete and not all rules can be excluded.Also, the rules that could be excluded were not necessary because they were not covered in our implementation. ref: https://github.com/suzuki-shunsuke/ghalint/tree/main?tab=readme-ov-file#disable-policies Therefore, we implemented the exclusion process on the job side as a workaround. The results can be seen here: - Cases where action_ref_should_be_full_length_commit_sha fails: https://github.com/liam-hq/liam/actions/runs/15870057039/job/44744378667?pr=2198 - Other cases where lint fails: https://github.com/liam-hq/liam/actions/runs/15870111155/job/44744534855?pr=2198"", 'Actually this should just be a simple check to block on _all_ errors, not just these errors. No need to be extremely conservative here. I think all of these block execution in the end. This may indeed break existing tests. But the best thing to do is probably to make the minimal changes to get those tests to pass. Why were those tests failing? Did the test Q# have compiler errors? That was probably not intended - can you fix them?', '@mitchdenny This error message is incorrect when you set overrideMinimumSdkVersion. <img width=""2574"" height=""804"" alt=""image"" src=""https://github.com/user-attachments/assets/591d2e7b-2531-438c-80e5-45efa16bd0d3"" />']"
1,34,1_duration_timeout_delays_calculation,"['duration', 'timeout', 'delays', 'calculation', 'backoff', 'performance', 'timing', 'cancelled', 'perf', 'limit']","['agree. anyway CAT seems to be very broken at the moment. Under very light load, it works occasionally, but once I increase the number of transactions, the chain halts. I am right now going over the whole implementation to familiarize with it and see what can be improved. So, I am fine with merging this to be on the same version as v0.38.x branch. Otherwise, we could revert that commit and wait until we fix the real issues', '[nitpick] The exponential backoff delays may significantly extend test runtime under repeated failures. You could cap the total backoff time or make the delays configurable to prevent long CI runs. [CODE_BLOCK]', '[nitpick] The timeout value of 1100ms (1.1 seconds) is longer than the original 1 second timeout, which seems counterintuitive for fixing a timing issue. Consider using a shorter duration like 900ms or add a comment explaining why a longer timeout is needed to fix the interruption test. [CODE_BLOCK]']"
2,26,2_azure_bicep_nuget_www,"['azure', 'bicep', 'nuget', 'www', 'https www', '13', 'sdk', 'ps1', 'packages', '15']","[""@Copilot not only did you completely forget to make the necessary adjustment in [CODE] (which are admittedly a little finicky, as you have to use [CODE] to retrieve the [CODE] setting, but then also match that URL against the Azure Repo patterns). No, you also failed to introduce a new test case ([CODE]) to verify that change. Also, you test for [CODE] here, but that's absolutely not what we want to set! This would apply to all remote URLs, not only to the Azure Repos ones. You _definitely_ need to initialize a new repository (either via [CODE] or via [CODE]) and then configure a valid-looking Azure Repo URL in there, then call [CODE] and _then_ verify that the [CODE] is set (substituting the actual URL for [CODE]). Back to work!"", ""Azure.Identity 1.13.1 is deprecated https://www.nuget.org/packages/Azure.Identity/1.13.1 Note that 1.15.0-beta1 https://www.nuget.org/packages/Azure.Identity/1.15.0-beta.1#dependencies-body-tab removes the unnecessary reference to System.Memory on net8.0 unknown when that will GA but based on history that's in 2-3 months unless you can speed that up."", ""Azure.Identity 1.13.1 is deprecated https://www.nuget.org/packages/Azure.Identity/1.13.1 Note that 1.15.0-beta1 https://www.nuget.org/packages/Azure.Identity/1.15.0-beta.1#dependencies-body-tab removes the unnecessary reference to System.Memory on net8.0 unknown when that will GA but based on history that's in 2-3 months unless you can speed that up.""]"
3,18,3_async_store_follows code_block_retrieve,"['async', 'store', 'follows code_block', 'retrieve', 'follows', 'state', 'sample', 'settings', 'way', 'needs']","['async_update_mapping is not async in store. make it async there.', 'async_delete_module is not async in store. make it async.', 'async_delete_mapping is not an async method. make it async in store.']"
4,16,4_sdfg_program_architecture_dace,"['sdfg', 'program', 'architecture', 'dace', 'target code', 'tizen', 'native', 'code generator', 'symbols', 'interesting']","[""I see how this is different than CoreCLR reflection, but right now I'm not seeing a small enough change without side effects to bring them closer. Considering all accessors would introduce allocation and also would not gain anything without further changes to MLC - it's also not fixing any reported issue. I do see that we could realized longer term benefit by sharing more of the managed code in CoreCLR reflection and MLC - but right now they are built on different metadata models - so fixing this is not in the scope of this PR. I would be interesting in how we could do that longer term though."", 'The manually created SDFG does not have the same functionality as the DaCe-Python program you originally wrote. I believe the program was incorrect because you tried to define the symbol inside it with [CODE]. However, this is incorrect. Symbols (defined or not) must be defined outside of the program. For example, as follows: [CODE_BLOCK] Maybe give it a try and see if it works?', 'This is not a good example. It does not showcase anything other than the target code generation, which is already easy to modify in the current structure (see [CODE] and [CODE]). The example needs to show something new and more involved. Please replace this with an OpenCL code generator that modifies, e.g., the allocation process and copies. You can then use the same example to demonstrate how an SDFG file might be split to another SDFG for the kernel portion alone (i.e., for the .cl file) and how the target code generation pass interacts with this.']"
5,16,5_task_tasks_achieve_unreliable,"['task', 'tasks', 'achieve', 'unreliable', 'code_block using', 'run code', 'incorrect error', 'iterator', 'ids', 'reporting']","['This fallback warning suggests the task tracking logic may be unreliable. The warning message should include more debugging information like the total number of tasks and tracked tools to help diagnose the issue. [CODE_BLOCK]', 'Using [CODE] as task_id in the error handling is incorrect because [CODE] returns the number of remaining tasks, not the ID of the failed task. This will likely map to the wrong tools in the error case. [CODE_BLOCK]', ""Using [CODE] as task_id in error handling is incorrect. When a task fails, [CODE] represents the number of remaining tasks, not the failed task's ID. This will cause incorrect error attribution. [CODE_BLOCK]""]"
6,13,6_timeout anymore_need timeout_dont think_timeout,"['timeout anymore', 'need timeout', 'dont think', 'timeout', 'anymore', 'think need', 'dont', 'fallback logic', 'v2', 'apphost']","['i dont think you need this timeout anymore', 'i dont think you need this timeout anymore', 'i dont think you need this timeout anymore']"
7,11,7_garbage_pages_memory_collection,"['garbage', 'pages', 'memory', 'collection', 'lifetime', 'wants', 'release', 'management', 'applications', 'advanced']","["">, but the RCW doesn't automatically release the underlying COM object when it's garbage collected. This is invalid statement. RCW does release the underlying COM object when it's garbage collected. The problem is the delayed nature of garbage collection. not that the RCW is not released."", ""Doesn't the not implemented error sound random? Glb -> Glb being more explicitly specified in a code means that it needs to be copied within a map (e.g. calling copytomap as a transformation)? As if there is a program that absolutely needs glb to glb memory copy (or the user wants that), I think asking for different memory locations to be used is irrelevant. Different memory scopes wont help and we don't have explicit synchronization patterns in dace (also what will adding a syncthreads will do)?"", 'I do not think that this pattern should be followed by most production applications out there. The delayed release of the COM objects that is a side-effect of garbage collection is not a problem for most production applications. Vast majority of developers love that .NET garbage collection takes care of it for them and they are perfectly fine paying a small price for it. Stepping back, this is introductory sample for Office Interop. it is appropriate to complicate it by manual lifetime management. I think it may be better to leave this sample alone, and move the advanced topic of manual lifetime management to a new advanced sample.']"
8,10,8_rust_converted_probably doesn_need checks,"['rust', 'converted', 'probably doesn', 'need checks', 'err', 'code probably', 'attempted', 'stream', 'macro', 'avoiding']","[""This code probably doesn't need any checks does it? Won't the Rust code return an Err if undefined is attempted to be converted into an Object or Function? If so, just remove all of these changes."", 'I don\'t like this as a solution, because it changes the contract for this helper to something a lot less intuitive: > The resultant token stream will be an expression which typechecks at the Rust type ... becomes > The resultant token stream will typecheck at the Rust type of the unnamed type of the result, or the empty stream if named results are used which means that it can\'t generally be used to uniformly generate a return value. Right now, this expression is only used in the tail position of a function definition, so it works ""by coincidence""---but this change makes the interface more brittle (e.g. if you wanted to refactor the macro to trace the return value, you would need special cases to not accidentally generate an empty [CODE] statement).', ""This is not avoiding checking our code, it's avoiding checking the types of libraries in use. It is common to do so unless your app is a critical production app, which is not the case here. Type checking the whole node-modules is overengineering, for a product that will simply lag then restart if one of the type in the three was used wrong. If your app is a production app and a crash will lead to loses of 1M$, you should double-check every package you use. The Rust code should be validated profoundly, as it can crash the user's entire system, and while not horrible, it is a big bug for a tool. But the dependencies used for the VS Code plugin can have a regular check, and a deep check is an overkill. In case we choose to do check libs, the results will not be upgrading to 24, as it will take time until all libs are aligned with the new rules, and we lose the performance edge. So, as you see right. My position is to skip lib check. @cordx56 please give your opinion as well on the matter. Edit: You don't need to listen to the gentleman below, I didn't ask for his opinion. I'm also not sure if I'm excited to see that copilot repeat what is said, or that it means that I'm going to be replaced ;p""]"
