agent,pr_type,mean_friction,std_friction,count,negative_rate
Claude_Code,build,0.0152,,1,0.0
Claude_Code,chore,0.1577,0.2055,5,0.0
Claude_Code,docs,0.2027,0.2237,21,0.1905
Claude_Code,feat,0.1844,0.2417,173,0.1734
Claude_Code,fix,0.1432,0.1878,40,0.075
Claude_Code,refactor,0.1692,0.2277,18,0.1111
Claude_Code,test,0.1565,0.2324,10,0.2
Copilot,build,0.2206,0.2469,165,0.1636
Copilot,chore,0.3422,0.3227,92,0.3804
Copilot,ci,0.3091,0.3076,80,0.3
Copilot,docs,0.2697,0.2918,613,0.261
Copilot,feat,0.2582,0.2819,2260,0.2381
Copilot,fix,0.2884,0.2861,1771,0.2631
Copilot,perf,0.1179,0.1724,56,0.0536
Copilot,refactor,0.2552,0.2776,417,0.2182
Copilot,test,0.2846,0.2907,202,0.2723
Cursor,build,0.0107,0.0042,5,0.0
Cursor,chore,0.3397,0.2529,10,0.5
Cursor,ci,0.0725,0.0786,9,0.0
Cursor,docs,0.0848,0.1489,75,0.0533
Cursor,feat,0.2256,0.257,313,0.2013
Cursor,fix,0.2453,0.2554,147,0.2381
Cursor,perf,0.2892,0.2309,8,0.25
Cursor,refactor,0.1676,0.2333,49,0.1429
Cursor,test,0.2813,0.3288,15,0.2
Devin,build,0.223,0.2933,14,0.2143
Devin,chore,0.2986,0.2526,30,0.2333
Devin,ci,0.1733,0.2485,25,0.16
Devin,docs,0.2992,0.3008,182,0.2857
Devin,feat,0.2673,0.2734,1426,0.2482
Devin,fix,0.2457,0.2723,331,0.2266
Devin,perf,0.0099,0.0076,6,0.0
Devin,refactor,0.2544,0.27,245,0.2041
Devin,test,0.2481,0.3061,23,0.2609
OpenAI_Codex,build,0.1321,0.1927,50,0.08
OpenAI_Codex,chore,0.1757,0.2692,250,0.144
OpenAI_Codex,ci,0.0796,0.07,5,0.0
OpenAI_Codex,docs,0.0699,0.1408,176,0.0398
OpenAI_Codex,feat,0.14,0.2163,863,0.1101
OpenAI_Codex,fix,0.1413,0.208,456,0.0943
OpenAI_Codex,perf,0.1979,0.2825,22,0.1364
OpenAI_Codex,refactor,0.1376,0.1969,203,0.0788
OpenAI_Codex,test,0.0955,0.1718,122,0.041
