pair,n1,n2,cliff_delta,cohens_d,achieved_power,adequate_power
Claude_Code vs Copilot,268,5671,-0.23493842724308278,-0.48340730169637774,0.9999999960805696,True
Claude_Code vs OpenAI_Codex,268,2152,0.0973027520390612,0.19553334324789748,0.8548380301885753,True
Claude_Code vs Cursor,268,636,-0.007046137238336619,-0.014092624316673732,0.05429141245005996,False
Claude_Code vs Devin,268,2290,-0.17609985009450563,-0.35779114970630727,0.9998281545168679,True
Copilot vs OpenAI_Codex,5671,2152,0.33567901388332605,0.712712127934243,,False
Copilot vs Cursor,5671,636,0.2066857308894752,0.42249421726504977,0.9999999999999998,True
Copilot vs Devin,5671,2290,0.045852837426915,0.09180223193516994,0.9597155413564998,True
OpenAI_Codex vs Cursor,2152,636,-0.087953870613266,-0.1765921153588112,0.9744934479370393,True
OpenAI_Codex vs Devin,2152,2290,-0.26789723381113945,-0.5561221254034029,,False
Cursor vs Devin,636,2290,-0.15053486583724698,-0.30454005678250284,0.9999993249783143,True
